"","tFirst","tSecond","type"
"1",2021-05-17 11:25:31,2021-05-17 21:13:32,2
"2",2021-05-17 21:13:32,2021-05-18 11:23:11,1
"3",2021-05-18 11:23:11,2021-05-18 21:14:12,2
"4",2021-05-18 21:14:12,2021-05-19 12:05:01,1
"5",2021-05-19 12:05:01,2021-05-19 21:17:36,2
"6",2021-05-19 21:17:36,2021-05-20 11:27:11,1
"7",2021-05-20 11:27:11,2021-05-20 21:13:32,2
"8",2021-05-20 21:13:32,2021-05-21 11:32:11,1
"9",2021-05-21 11:32:11,2021-05-21 21:11:42,2
"10",2021-05-21 21:11:42,2021-05-22 11:30:31,1
"11",2021-05-22 11:30:31,2021-05-22 21:10:27,2
"12",2021-05-22 21:10:27,2021-05-23 11:34:11,1
"13",2021-05-23 11:34:11,2021-05-23 14:05:27,2
"14",2021-05-23 14:05:27,2021-05-23 14:06:56,1
"15",2021-05-23 14:06:56,2021-05-23 21:10:12,2
"16",2021-05-23 21:10:12,2021-05-24 11:32:11,1
"17",2021-05-24 11:32:11,2021-05-24 21:11:52,2
"18",2021-05-24 21:11:52,2021-05-25 11:33:11,1
"19",2021-05-25 11:33:11,2021-05-25 21:15:12,2
"20",2021-05-25 21:15:12,2021-05-26 11:29:47,1
"21",2021-05-26 11:29:47,2021-05-26 20:32:03,2
"22",2021-05-26 20:32:03,2021-05-27 11:32:47,1
"23",2021-05-27 11:32:47,2021-05-27 21:15:27,2
"24",2021-05-27 21:15:27,2021-05-28 11:26:56,1
"25",2021-05-28 11:26:56,2021-05-28 21:20:27,2
"26",2021-05-28 21:20:27,2021-05-29 11:15:11,1
"27",2021-05-29 11:15:11,2021-05-29 21:24:42,2
"28",2021-05-29 21:24:42,2021-05-30 11:21:56,1
"29",2021-05-30 11:21:56,2021-05-30 21:31:20,2
"30",2021-05-30 21:31:20,2021-05-31 10:54:46,1
"31",2021-05-31 10:54:46,2021-05-31 12:11:56,2
"32",2021-05-31 12:11:56,2021-05-31 21:27:57,2
"33",2021-05-31 21:27:57,2021-06-01 11:06:56,1
"34",2021-06-01 11:06:56,2021-06-01 21:23:12,2
"35",2021-06-01 21:23:12,2021-06-02 11:21:56,1
"36",2021-06-02 11:21:56,2021-06-02 21:23:12,2
"37",2021-06-02 21:23:12,2021-06-03 11:25:19,1
"38",2021-06-03 11:25:19,2021-06-03 21:29:42,2
"39",2021-06-03 21:29:42,2021-06-04 11:05:57,1
"40",2021-06-04 11:05:57,2021-06-04 21:42:37,2
